id,status,result__focalYear,result__focalSample,result__targetYear,result__targetSample,result__statType,result__subject,result__grade,result__jurisdiction,result__scale,result__variable,result__variableLabel,result__valLabel,result__valValue,result__focalValue,result__isFocalStatDisplayable,result__focalErrorFlag,result__targetValue,result__isTargetStatDisplayable,result__targetErrorFlag,result__isSigDisplayable,result__gap,result__sig
116,,2017,R3,2009,R3,MN:MN,MAT,4,CO,MRPCM,GENDER,Gender,Female,2,241.1372973,1,0,242.2698015,1,0,1,-1.132504124,EQUAL
117,,2017,R3,2009,R3,MN:MN,MAT,4,CT,MRPCM,GENDER,Gender,Male,1,241.4876106,1,0,246.4001882,1,0,1,-4.912577634,LOWER
118,,2017,R3,2009,R3,MN:MN,MAT,4,CT,MRPCM,GENDER,Gender,Female,2,236.9166503,1,0,242.9610879,1,0,1,-6.044437553,LOWER
119,,2017,R3,2009,R3,MN:MN,MAT,4,DC,MRPCM,GENDER,Gender,Male,1,231.3590099,1,0,217.9480023,1,0,1,13.41100755,HIGHER
120,,2017,R3,2009,R3,MN:MN,MAT,4,DC,MRPCM,GENDER,Gender,Female,2,231.2817799,1,0,220.5677797,1,0,1,10.71400017,HIGHER
121,,2017,R3,2009,R3,MN:MN,MAT,4,DE,MRPCM,GENDER,Gender,Male,1,235.5916588,1,0,241.1687191,1,0,1,-5.577060343,LOWER
122,,2017,R3,2009,R3,MN:MN,MAT,4,DE,MRPCM,GENDER,Gender,Female,2,236.668776,1,0,237.7510974,1,0,1,-1.082321407,EQUAL
123,,2017,R3,2009,R3,MN:MN,MAT,4,FL,MRPCM,GENDER,Gender,Male,1,247.4765145,1,0,242.5444211,1,0,1,4.932093335,HIGHER
124,,2017,R3,2009,R3,MN:MN,MAT,4,FL,MRPCM,GENDER,Gender,Female,2,245.23157,1,0,241.3373227,1,0,1,3.894247337,HIGHER
125,,2017,R3,2009,R3,MN:MN,MAT,4,GA,MRPCM,GENDER,Gender,Male,1,236.6667509,1,0,236.5085199,1,0,1,0.158230994,EQUAL
126,,2017,R3,2009,R3,MN:MN,MAT,4,GA,MRPCM,GENDER,Gender,Female,2,236.0913659,1,0,235.5460739,1,0,1,0.545291935,EQUAL
127,,2017,R3,2009,R3,MN:MN,MAT,4,HI,MRPCM,GENDER,Gender,Male,1,238.0754512,1,0,235.2669195,1,0,1,2.808531666,EQUAL
128,,2017,R3,2009,R3,MN:MN,MAT,4,HI,MRPCM,GENDER,Gender,Female,2,237.750739,1,0,236.1308716,1,0,1,1.61986734,EQUAL
129,,2017,R3,2009,R3,MN:MN,MAT,4,IA,MRPCM,GENDER,Gender,Male,1,245.0853816,1,0,243.3199286,1,0,1,1.765453055,EQUAL
130,,2017,R3,2009,R3,MN:MN,MAT,4,IA,MRPCM,GENDER,Gender,Female,2,240.9940059,1,0,241.8441682,1,0,1,-0.850162306,EQUAL
131,,2017,R3,2009,R3,MN:MN,MAT,4,ID,MRPCM,GENDER,Gender,Male,1,241.643382,1,0,241.9403591,1,0,1,-0.29697709,EQUAL
132,,2017,R3,2009,R3,MN:MN,MAT,4,ID,MRPCM,GENDER,Gender,Female,2,238.2289001,1,0,240.1308958,1,0,1,-1.901995687,EQUAL
133,,2017,R3,2009,R3,MN:MN,MAT,4,IL,MRPCM,GENDER,Gender,Male,1,239.6449667,1,0,239.6526887,1,0,1,-0.00772193,EQUAL
134,,2017,R3,2009,R3,MN:MN,MAT,4,IL,MRPCM,GENDER,Gender,Female,2,236.6028134,1,0,236.9052525,1,0,1,-0.302439132,EQUAL
135,,2017,R3,2009,R3,MN:MN,MAT,4,IN,MRPCM,GENDER,Gender,Male,1,248.2432237,1,0,242.9870434,1,0,1,5.256180212,HIGHER
136,,2017,R3,2009,R3,MN:MN,MAT,4,IN,MRPCM,GENDER,Gender,Female,2,244.6945339,1,0,242.2299855,1,0,1,2.46454845,EQUAL
137,,2017,R3,2009,R3,MN:MN,MAT,4,KS,MRPCM,GENDER,Gender,Male,1,242.4832381,1,0,246.161674,1,0,1,-3.678435871,LOWER
138,,2017,R3,2009,R3,MN:MN,MAT,4,KS,MRPCM,GENDER,Gender,Female,2,239.8473267,1,0,244.3872114,1,0,1,-4.539884693,LOWER
139,,2017,R3,2009,R3,MN:MN,MAT,4,KY,MRPCM,GENDER,Gender,Male,1,240.7846346,1,0,240.0342356,1,0,1,0.750398961,EQUAL
140,,2017,R3,2009,R3,MN:MN,MAT,4,KY,MRPCM,GENDER,Gender,Female,2,237.5202772,1,0,237.5675195,1,0,1,-0.04724221,EQUAL
141,,2017,R3,2009,R3,MN:MN,MAT,4,LA,MRPCM,GENDER,Gender,Male,1,228.6041819,1,0,230.1209562,1,0,1,-1.516774313,EQUAL
142,,2017,R3,2009,R3,MN:MN,MAT,4,LA,MRPCM,GENDER,Gender,Female,2,229.3514084,1,0,228.6899391,1,0,1,0.661469259,EQUAL
143,,2017,R3,2009,R3,MN:MN,MAT,4,MA,MRPCM,GENDER,Gender,Male,1,251.5534018,1,0,253.4405668,1,0,1,-1.887164982,EQUAL
144,,2017,R3,2009,R3,MN:MN,MAT,4,MA,MRPCM,GENDER,Gender,Female,2,246.5965685,1,0,251.0823898,1,0,1,-4.485821288,LOWER
145,,2017,R3,2009,R3,MN:MN,MAT,4,MD,MRPCM,GENDER,Gender,Male,1,242.0755965,1,0,244.2405097,1,0,1,-2.164913166,EQUAL
146,,2017,R3,2009,R3,MN:MN,MAT,4,MD,MRPCM,GENDER,Gender,Female,2,239.0633464,1,0,243.346193,1,0,1,-4.282846559,LOWER
147,,2017,R3,2009,R3,MN:MN,MAT,4,ME,MRPCM,GENDER,Gender,Male,1,240.2348413,1,0,246.5404608,1,0,1,-6.305619527,LOWER
148,,2017,R3,2009,R3,MN:MN,MAT,4,ME,MRPCM,GENDER,Gender,Female,2,239.5559952,1,0,242.2710866,1,0,1,-2.715091379,EQUAL
149,,2017,R3,2009,R3,MN:MN,MAT,4,MI,MRPCM,GENDER,Gender,Male,1,236.8113307,1,0,237.5802861,1,0,1,-0.768955363,EQUAL
150,,2017,R3,2009,R3,MN:MN,MAT,4,MI,MRPCM,GENDER,Gender,Female,2,234.2812085,1,0,234.9529816,1,0,1,-0.671773057,EQUAL
151,,2017,R3,2009,R3,MN:MN,MAT,4,MN,MRPCM,GENDER,Gender,Male,1,250.3992494,1,0,251.2868955,1,0,1,-0.887646084,EQUAL
152,,2017,R3,2009,R3,MN:MN,MAT,4,MN,MRPCM,GENDER,Gender,Female,2,247.1810569,1,0,247.556902,1,0,1,-0.375845026,EQUAL
