id,state,gender,avg_2009_readingScores,avg_2017_readingScores,readingScores_precentChange
75,OK,Male,213.96507730000002,212.8841397,1.08093759
77,OR,Male,214.1195805,212.40314680000003,1.716433742
79,PA,Male,221.3485904,224.1111222,-2.762531848
81,RI,Male,217.8659933,220.60557659999998,-2.7395832610000004
83,SC,Male,213.40612760000002,209.56633200000002,3.8397955460000004
85,SD,Male,219.5269395,219.1506216,0.37631788200000005
87,TN,Male,213.85772519999998,215.29826630000002,-1.4405411469999998
89,TX,Male,215.67111269999998,213.48003340000002,2.191079299
91,UT,Male,216.9301106,221.0767767,-4.1466661160000005
93,VA,Male,222.7808285,226.245481,-3.464652537
95,VT,Male,226.1078339,223.34771800000001,2.760115925
97,WA,Male,217.0907011,220.2532377,-3.1625366539999997
99,WI,Male,216.606254,216.7292028,-0.12294880300000001
101,WV,Male,210.86660419999998,212.89900260000002,-2.032398408
103,WY,Male,219.1295972,224.1985693,-5.068972087
105,AK,Male,203.0513017,206.7242292,-3.6729275039999996
107,AL,Male,212.8211091,211.74193050000002,1.079178604
109,AR,Male,211.74262000000002,210.97585800000002,0.766762077
111,AZ,Male,213.46267039999998,206.9136801,6.54899033
113,CA,Male,210.7706082,207.055218,3.7153901460000003
115,CO,Male,221.61640559999998,222.255777,-0.639371467
117,CT,Male,225.69884989999997,224.53905319999996,1.159796708
119,DC,Male,209.7059168,198.09476619999998,11.61115065
121,DE,Male,217.02140950000003,222.87174190000002,-5.8503324160000005
123,FL,Male,226.0874762,222.52019610000002,3.567280031
125,GA,Male,215.9960475,214.28571380000002,1.7103337509999998
127,HI,Male,211.96439750000002,205.13322390000002,6.8311735989999995
129,IA,Male,218.88682480000003,216.96943230000002,1.917392481
131,ID,Male,220.3231426,216.5292228,3.7939197589999996
133,IL,Male,217.19876859999997,214.8423846,2.35638402
135,IN,Male,224.2207755,218.3968134,5.823962004
137,KS,Male,220.723398,222.1581946,-1.4347965919999999
139,KY,Male,221.9300199,222.3486903,-0.41867038799999995
141,LA,Male,210.24742400000002,202.9714742,7.275949802
143,MA,Male,232.9402589,231.1401318,1.80012711
145,MD,Male,220.69551069999997,222.5177629,-1.8222522140000001
147,ME,Male,219.2110349,219.58023369999998,-0.36919883200000003
149,MI,Male,213.58580730000003,214.3957909,-0.809983557
151,MN,Male,221.9607287,219.8187462,2.141982557
153,MO,Male,220.5014873,218.9749832,1.5265040380000001
155,MS,Male,211.57824509999998,207.6306934,3.947551653
157,MT,Male,220.22639280000004,221.7826605,-1.5562677619999998
159,NC,Male,221.1697234,214.78778430000003,6.381939055
161,ND,Male,216.68196830000002,223.1073372,-6.42536884
163,NE,Male,220.76644700000003,219.6725023,1.09394473
165,NH,Male,227.622395,225.85400589999998,1.7683890519999999
167,NJ,Male,228.67674590000001,227.1098772,1.566868752
169,NM,Male,203.95849180000002,202.83436890000002,1.124122857
171,NT,Male,218.96578190000002,217.6064798,1.35930209
173,NV,Male,211.24649399999998,208.2577906,2.988703366
175,NY,Male,219.0240122,220.7946954,-1.77068324
177,OH,Male,223.49784759999997,221.64348859999998,1.854358999
179,OK,Male,212.8841397,213.96507730000002,-1.08093759
181,OR,Male,212.40314680000003,214.1195805,-1.716433742
183,PA,Male,224.1111222,221.3485904,2.762531848
185,RI,Male,220.60557659999998,217.8659933,2.7395832610000004
187,SC,Male,209.56633200000002,213.40612760000002,-3.8397955460000004
189,SD,Male,219.1506216,219.5269395,-0.37631788200000005
191,TN,Male,215.29826630000002,213.85772519999998,1.4405411469999998
193,TX,Male,213.48003340000002,215.67111269999998,-2.191079299
195,UT,Male,221.0767767,216.9301106,4.1466661160000005
197,VA,Male,226.245481,222.7808285,3.464652537
