id,state,gender,avg_2009_mathScores,avg_2017_mathScores,mathScores_precentChange
96,VT,Female,246.59942569999998,240.4434016,6.156024062
98,WA,Female,242.12162080000002,240.08729530000002,2.0343254230000003
100,WI,Female,242.41006940000003,238.9828094,3.427260001
102,WV,Female,231.92953909999997,235.5821776,-3.652638528
104,WY,Female,240.98958219999997,246.06756549999997,-5.0779833089999995
106,AK,Female,230.4611871,235.9293425,-5.468155375
108,AL,Female,231.87848169999998,228.2247489,3.653732845
110,AR,Female,232.66498760000002,236.1995327,-3.534545133
112,AZ,Female,233.2150457,229.68685919999996,3.5281865239999997
114,CA,Female,231.2155055,230.6765415,0.538964046
116,CO,Female,241.13729730000003,242.2698015,-1.132504124
118,CT,Female,236.91665030000001,242.96108790000002,-6.044437553
120,DC,Female,231.2817799,220.5677797,10.71400017
122,DE,Female,236.66877599999998,237.7510974,-1.082321407
124,FL,Female,245.23157,241.3373227,3.894247337
126,GA,Female,236.0913659,235.5460739,0.545291935
128,HI,Female,237.750739,236.1308716,1.61986734
130,IA,Female,240.9940059,241.8441682,-0.850162306
132,ID,Female,238.2289001,240.13089580000002,-1.9019956869999999
134,IL,Female,236.6028134,236.9052525,-0.302439132
136,IN,Female,244.6945339,242.2299855,2.46454845
138,KS,Female,239.8473267,244.3872114,-4.539884693
140,KY,Female,237.52027719999998,237.56751949999997,-0.04724221
142,LA,Female,229.35140840000003,228.68993909999998,0.661469259
144,MA,Female,246.59656850000002,251.08238980000002,-4.485821288
146,MD,Female,239.06334640000003,243.34619300000003,-4.282846558999999
148,ME,Female,239.5559952,242.2710866,-2.715091379
150,MI,Female,234.2812085,234.95298160000002,-0.671773057
152,MN,Female,247.18105690000002,247.556902,-0.375845026
154,MO,Female,237.6815798,240.0938702,-2.41229038
156,MS,Female,233.90217119999997,227.854993,6.047178221
158,MT,Female,240.04140550000002,241.6644649,-1.6230594809999999
160,NC,Female,240.00583250000003,243.5792701,-3.573437619
162,ND,Female,242.74885609999998,243.5153071,-0.766450938
164,NE,Female,243.84341969999997,238.7398143,5.103605408
166,NH,Female,243.59176150000002,249.8650685,-6.273307075
168,NJ,Female,247.4159119,244.5251381,2.89077376
170,NM,Female,228.9597938,229.3881713,-0.428377526
172,NT,Female,238.59400019999998,238.69441969999997,-0.10041951
174,NV,Female,231.282843,234.2039974,-2.921154449
176,NY,Female,233.4225455,239.3247083,-5.902162767999999
178,OH,Female,240.4299969,241.87394480000003,-1.443947864
180,OK,Female,235.8625867,235.6251517,0.237434957
182,OR,Female,231.0436143,235.97175570000002,-4.928141427
184,PA,Female,239.97992069999998,242.36482469999999,-2.384904024
186,RI,Female,236.9472733,237.00482000000002,-0.057546712
188,SC,Female,233.12889359999997,235.1828128,-2.0539191519999997
190,SD,Female,239.36951919999998,240.6416357,-1.2721164109999998
192,TN,Female,236.4169963,231.4680404,4.9489559210000005
194,TX,Female,240.8321055,240.02622659999997,0.805878877
196,UT,Female,240.31077480000002,239.2707128,1.040062072
198,VA,Female,245.47200660000001,241.4090858,4.062920797
200,VT,Female,240.4434016,246.59942569999998,-6.156024062
202,WA,Female,240.08729530000002,242.12162080000002,-2.0343254230000003
204,WI,Female,238.9828094,242.41006940000003,-3.427260001
206,WV,Female,235.5821776,231.92953909999997,3.652638528
208,WY,Female,246.06756549999997,240.98958219999997,5.0779833089999995
